Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1994-09-26,0.0,0.14440723867361177,0.0,0.0,0.0,0.0,0.0,0.028790157413806423,0.0,-4.0657581468206416e-19,0.0,0.0,0.0,-0.24870242639741233,-0.16163169858102025,0.41646847893414923
1994-09-27,0.0,0.149269612611346,0.0,0.0,0.0,0.0,0.0,0.022681295464662098,0.0,-9.486769009248164e-20,0.0,0.0,0.0,-0.2521964251591615,-0.1637466252913512,0.41210604147347923
1994-09-28,0.0,0.1409543481154253,0.0,0.0,0.0,0.0,0.0,0.037773043508925096,0.0,-1.9820570965750628e-19,0.0,0.0,0.0,-0.24765082384575654,-0.16665146687427518,0.40697031766668595
1994-09-29,0.0,0.13257778784511404,0.0,0.0,0.0,0.0,0.0,0.04731473946566637,0.0,-9.020900888258299e-20,0.0,0.0,0.0,-0.2514319760198505,-0.16238178951788154,0.40629370715997526
1994-09-30,0.0,0.11856746457801234,0.0,0.0,0.0,0.0,0.0,0.05620344254360915,0.0,-9.275010772434589e-20,0.0,0.0,0.0,-0.2576731530131039,-0.15860429465349876,0.4089516452117759
1994-10-03,0.0,0.11889529077393744,0.0,0.0,0.0,0.0,0.0,0.05726528387143875,0.0,5.675120746603812e-20,0.0,0.0,0.0,-0.25834356835584066,-0.15216558309105122,0.4133302739077319
1994-10-04,0.0,0.1110533397375724,0.0,0.0,0.0,0.0,0.0,0.07095939138048674,0.0,5.675120746603812e-20,0.0,0.0,0.0,-0.2558207599223518,-0.15523524138304443,0.4069312675765446
1994-10-05,0.0,0.11322898833632439,0.0,0.0,0.0,0.0,0.0,0.07079161899724846,0.0,1.1773757966834775e-19,0.0,0.0,0.0,-0.2567125212227605,-0.15218128934748312,0.4070855820940561
1994-10-06,0.0,0.10844621767407611,0.0,0.0,0.0,0.0,0.0,0.07941378999726291,0.0,-4.658681209898652e-21,0.0,0.0,0.0,-0.25798410304814484,-0.14937662653602515,0.404779262744491
1994-10-07,0.0,0.13397649023936328,0.0,0.0,0.13711590295833792,0.0,0.0,0.24115517640476158,0.0,-0.0007325433716147862,0.0,0.0,0.0,-0.25720563924611795,-0.22981424783612234,0.0
1994-10-10,0.0,0.13320971875279553,0.0,0.0,0.13706120752864465,0.0,0.0,0.24169773254569196,0.0,-0.003094276750482919,0.0,0.0,0.0,-0.255378670257488,-0.22955839416489696,0.0
1994-10-11,0.0,0.1343782127363586,0.0,0.0,0.13650521182824454,0.0,0.0,0.24071038741165973,0.0,-0.002166710505747193,0.0,0.0,0.0,-0.2556926404781952,-0.23054683703979473,0.0
1994-10-12,0.0,0.13690160184366065,0.0,0.0,0.13339074022761083,0.0,0.0,0.2411748602600892,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-0.25602779677606186,-0.23250500089257733,0.0
1994-10-13,0.0,0.13778915426526367,0.0,0.0,0.13389855732649253,0.0,0.0,0.24016122870440693,0.0,0.0,0.0,0.0,0.0,-0.2557981296127373,-0.23235293015648506,0.0
